Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2018 Hyundai Tucson,foreign,128000.0,4-cylinder,4.2,"GH¢ 350,000","Greater Accra, Airport",2018
2018 Honda Accord,foreign,31068.0,4-cylinder,4.4,"GH¢ 365,000","Greater Accra, Airport",2018
2025 DONGFENG RICH,new,0.0,4-cylinder,4.8,"GH¢ 276,000","Greater Accra, Airport",2025
2019 Land Rover Range Rover Sport,foreign,69000.0,6-cylinder,4.4,"GH¢ 640,000","Greater Accra, Airport",2019
2016 Honda HR-V,foreign,67108.0,4-cylinder,4.4,"GH¢ 255,250","Accra, East legon",2016
2017 Honda Cr-v,foreign,34796.0,4-cylinder,3.0,"GH¢ 280,898","Accra, Bawalishi",2017
2017 Toyota Corolla,foreign,47224.0,4-cylinder,3.0,"GH¢ 199,150","Greater Accra, Abelemkpe",2017
2018 Toyota Corolla,foreign,42874.0,4-cylinder,4.4,"GH¢ 200,000","Greater Accra, Airport",2018
2018 Honda Cr-v,foreign,28583.0,4-cylinder,3.0,"GH¢ 382,750","Greater Accra, Abelemkpe",2018
2017 Toyota Corolla,foreign,4000.0,4-cylinder,3.0,"GH¢ 214,450","Greater Accra Region, adjiringanor",2017
2025 Peugeot 3008,new,0.0,4-cylinder,4.9,"GH¢ 426,000","Greater Accra, Airport",2025
2014 KIA Bongo,foreign,31068.0,4-cylinder,4.3,"GH¢ 230,000","Greater Accra, Airport",2014
2025 Toyota Landcruiser Prado,new,0.0,4-cylinder,5.0,"GH¢ 1,311,000","Greater Accra, Airport",2025
2023 Toyota Landcruiser Prado,new,146022.0,4-cylinder,4.5,"GH¢ 1,065,130","Greater Accra, Tesano",2023
2019 Land Rover Range Rover Velar,foreign,49709.0,4-cylinder,4.4,"GH¢ 450,000","Greater Accra, Airport",2019
2014 Mercedes-Benz 250,foreign,0.0,6-cylinder,3.0,"GH¢ 255,250","Greater Accra, Dzorwulu",2014
2025 Mitsubishi L200 D/C Sportero A/T,new,0.0,4-cylinder,4.9,"GH¢ 678,720","Greater Accra, Airport",2025
2025 Mitsubishi L200 D/C Sportero A/T,new,0.0,4-cylinder,4.9,"GH¢ 678,720","Greater Accra, Airport",2025
2025 Mitsubishi L200 D/C Sportero A/T,new,0.0,4-cylinder,4.9,"GH¢ 678,720","Greater Accra, Airport",2025
2025 INEOS  GRENADIER,new,0.0,6-cylinder,4.9,"GH¢ 1,568,773","Greater Accra, Airport",2025
2015 Toyota Yaris,foreign,43495.0,4-cylinder,4.3,"GH¢ 148,000","Greater Accra, Airport",2015
2016 BMW X1,foreign,170000.0,4-cylinder,3.0,"GH¢ 362,350","Accra, Ashaiman",2016
2025 Toyota Coaster,new,0.0,6-cylinder,4.8,"GH¢ 1,333,628","Greater Accra, Airport",2025
2025 Toyota Land Cruiser Prado VX.L,new,0.0,6-cylinder,4.9,"GH¢ 1,740,000","Greater Accra, Airport",2025
2025 CHANGAN CS55,new,0.0,4-cylinder,4.9,"GH¢ 434,000","Greater Accra Region, Accra",2025
2023 Nissan Rogue,foreign,28000.0,4-cylinder,3.0,"GH¢ 459,250","Greater Accra, Nungua",2023
2021 Honda Accord,foreign,70000.0,4-cylinder,3.0,"GH¢ 357,250","Greater Accra, Nungua",2021
2021 KIA Sportage,foreign,47224.0,4-cylinder,3.0,"GH¢ 428,650","Greater Accra, Nungua",2021
2017 Toyota Corolla,foreign,45360.0,4-cylinder,3.0,"GH¢ 245,050","Greater Accra, Nungua",2017
2018 Toyota Corolla,foreign,40389.0,4-cylinder,3.0,"GH¢ 214,450","Greater Accra, Nungua",2018
2016 Mercedes-Benz C 300,foreign,25476.0,4-cylinder,3.0,"GH¢ 387,850","Greater Accra, Tesano",2016
2017 Toyota Yaris IA,foreign,24854.0,4-cylinder,3.0,"GH¢ 178,750","Greater Accra, Tesano",2017
2014 Mercedes-Benz E 300,foreign,13048.0,4-cylinder,3.0,"GH¢ 296,050","Greater Accra, Tesano",2014
2024 Toyota Highlander,foreign,17000.0,4-cylinder,4.2,"GH¢ 720,000","Greater Accra, Airport",2024
2014 Ford Focus,foreign,100000.0,4-cylinder,4.3,"GH¢ 110,000","Greater Accra, Airport",2014
2021 Hyundai Sonata,foreign,19262.0,4-cylinder,3.0,"GH¢ 438,850","Greater Accra, Nungua",2021
2019 Toyota RAV 4,foreign,47224.0,4-cylinder,3.0,"GH¢ 382,750","Accra, Bawalishi",2019
2023 Toyota Highlander,foreign,40389.0,6-cylinder,3.0,"GH¢ 816,250","Accra, Bawalishi",2023
2015 Toyota Corolla,foreign,54059.0,4-cylinder,3.0,"GH¢ 168,550","Accra, Bawalishi",2015
2019 Hyundai Santa Fe,foreign,47224.0,4-cylinder,3.0,"GH¢ 387,850","Accra, Bawalishi",2019
2018 Honda Cr-v,foreign,42253.0,4-cylinder,3.0,"GH¢ 347,050","Accra, Bawalishi",2018
2022 Hyundai Tucson,foreign,47224.0,4-cylinder,3.0,"GH¢ 474,550","Accra, Bawalishi",2022
2014 Mercedes-Benz Sprinter,foreign,35418.0,4-cylinder,3.0,"GH¢ 339,961","Accra, Bawalishi",2014
2017 Honda CR-V,foreign,64000.0,4-cylinder,4.4,"GH¢ 350,000","Greater Accra, Airport",2017
2024 Toyota Highlander,foreign,0.0,4-cylinder,4.4,"GH¢ 720,000","Greater Accra, Airport",2024
2025 SUZUKI FRONX SUV,new,0.0,4-cylinder,4.8,"GH¢ 336,000","Greater Accra, Airport",2025
2025 SHACMAN Dump Truck,new,0.0,6-cylinder,4.8,"GH¢ 900,000","Greater Accra, Achimota",2025
2025 Mitsubishi Pajero Sport,new,0.0,4-cylinder,4.5,"GH¢ 821,350","Accra, Accra North",2025
2025 Mitsubishi Pajero Sport,new,0.0,4-cylinder,4.5,"GH¢ 750,970","Accra, Accra North",2025
2025 GWM Tank 300,new,0.0,4-cylinder,4.9,"GH¢ 602,000","Greater Accra, Airport",2025
2025 GWM Tank 300,new,0.0,4-cylinder,4.9,"GH¢ 602,000","Greater Accra, Airport",2025
2025 Honda CR-V,new,0.0,4-cylinder,5.0,"GH¢ 765,000","Greater Accra, Airport",2025
2024 BMW X6,foreign,49709.0,4-cylinder,3.0,"GH¢ 357,250","Greater Accra, Dzorwulu",2024
2012 KIA Morning,foreign,31068.0,4-cylinder,4.4,"GH¢ 125,000","Greater Accra, Airport",2012
2017 Nissan NP 300,local,41010.0,4-cylinder,3.4,"GH¢ 187,930","Accra, Dzorwulu Residential Area",2017
2022 Honda Civic,foreign,30000.0,4-cylinder,3.0,"GH¢ 301,150","Greater Accra, Dansoman",2022
2018 Honda CR-V,local,47224.0,4-cylinder,4.4,"GH¢ 360,000","Greater Accra, Airport",2018
2016 Land Rover Discovery Sport,foreign,34796.0,6-cylinder,3.0,"GH¢ 470,000","Accra, Dome",2016
