Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2012 Toyota Camry,foreign,85000.0,6-cylinder,3.0,"₦ 15,815,000","Lagos, Ilupeju",2012
2010 Lexus ES 350,foreign,14000.0,6-cylinder,3.0,"₦ 15,015,000","Lagos, Agege",2010
2014 Lexus ES 350,foreign,107000.0,6-cylinder,3.0,"₦ 23,015,000","Lagos, Agege",2014
2011 Hyundai Elantra,foreign,183000.0,4-cylinder,3.0,"₦ 10,515,000","Lagos, Ikorodu",2011
2021 Lexus RX 350,foreign,3000.0,6-cylinder,3.0,"₦ 65,015,000","Abuja, CBD",2021
2012 Toyota Camry,local,83885.0,4-cylinder,3.0,"₦ 11,000,000","Lagos, Isolo",2012
2018 Honda Accord,foreign,59000.0,4-cylinder,3.0,"₦ 30,015,000","Lagos, Ikota, Lekki",2018
2010 Mercedes-Benz GLK 350,local,6213.0,6-cylinder,3.0,"₦ 13,815,000","Lagos, Ogba",2010
2012 Mercedes-Benz ML 350,foreign,72000.0,6-cylinder,3.0,"₦ 24,000,000","Lagos, Lekki",2012
2011 Mercedes-Benz GLK 350,foreign,194000.0,6-cylinder,3.0,"₦ 15,500,000","Lagos, Lekki",2011
2016 Hyundai Sonata,foreign,140000.0,4-cylinder,3.0,"₦ 16,615,000","Lagos, Ikota, Lekki",2016
2009 Toyota Venza,foreign,114332.0,4-cylinder,3.0,"₦ 19,515,000","Lagos, Abule Egba",2009
2021 Toyota Highlander,foreign,94000.0,6-cylinder,3.0,"₦ 67,015,000","Lagos, Agege",2021
2015 Honda Crosstour,foreign,80000.0,6-cylinder,4.5,"₦ 20,015,000","Lagos, Agege",2015
2015 Honda Crosstour,foreign,75000.0,6-cylinder,4.4,"₦ 21,015,000","Lagos, Agege",2015
2009 Toyota Camry,local,237000.0,4-cylinder,5.0,"₦ 7,715,000","Abuja, Kubuwa Expressway",2009
2021 Hyundai Sonata,foreign,70214.0,4-cylinder,3.0,"₦ 40,015,000","Lagos, Ikota, Lekki",2021
2013 Toyota Camry,local,9320.0,4-cylinder,3.0,"₦ 10,715,000","Lagos, Ipaja",2013
2013 Mercedes-Benz C 300,foreign,177000.0,4-cylinder,3.0,"₦ 17,015,000","Abuja, CBD",2013
2014 Mercedes-Benz GLK 350,foreign,99419.0,6-cylinder,3.0,"₦ 45,000,000","Lagos, Ajah",2014
2014 Mercedes-Benz C 300,foreign,157000.0,6-cylinder,3.0,"₦ 15,023","Abuja, CBD",2014
2021 Toyota camry,foreign,50000.0,4-cylinder,3.0,"₦ 38,015,000","Lagos, Ikota, Lekki",2021
2008 Lexus RX 350,local,111000.0,6-cylinder,3.7,"₦ 9,500,000","Lagos, Ogba",2008
2015 Toyota Highlander,foreign,108000.0,6-cylinder,3.0,"₦ 27,015,000","Lagos, Okota",2015
2008 Lexus RX 350,foreign,99419.0,6-cylinder,3.0,"₦ 13,865,000","Lagos, Ago",2008
2021 Lexus GX 460,foreign,58000.0,6-cylinder,3.0,"₦ 70,015,000","Lagos, Okota",2021
2016 Mercedes-Benz GLE 450,foreign,67000.0,6-cylinder,3.6,"₦ 69,000,000","Lagos, Ikeja",2016
